ID,URL,Date,Title,InfoTheory,CompVis,Math,Abstract
cs-9311102,arxiv.org/abs/cs/9311102,31/10/93,Software Agents: Completing Patterns and Constructing User Interfaces,0,0,0," Software Agents: Completing Patterns and Constructing User Interfaces To support the goal of allowing users to record and retrieve information, this paper describes an interactive note-taking system for pen-based computers with two distinctive features. First, it actively predicts what the user is going to write. Second, it automatically constructs a custom, button-box user interface on request. The system is an example of a learning-apprentice software- agent. A machine learning component characterizes the syntax and semantics of the user's information. A performance system uses this learned information to generate completion strings and construct a user interface. Description of Online Appendix: People like to record information. Doing this on paper is initially efficient, but lacks flexibility. Recording information on a computer is less efficient but more powerful. In our new note taking softwre, the user records information directly on a computer. Behind the interface, an agent acts for the user. To help, it provides defaults and constructs a custom user interface. The demonstration is a QuickTime movie of the note taking agent in action. The file is a binhexed self-extracting archive. Macintosh utilities for binhex are available from mac.archive.umich.edu. QuickTime is available from ftp.apple.com in the dts/mac/sys.soft/quicktime. "
cs-9311101,arxiv.org/abs/cs/9311101,31/10/93,The Difficulties of Learning Logic Programs with Cut,0,0,0," The Difficulties of Learning Logic Programs with Cut As real logic programmers normally use cut (!), an effective learning procedure for logic programs should be able to deal with it. Because the cut predicate has only a procedural meaning, clauses containing cut cannot be learned using an extensional evaluation method, as is done in most learning systems. On the other hand, searching a space of possible programs (instead of a space of independent clauses) is unfeasible. An alternative solution is to generate first a candidate base program which covers the positive examples, and then make it consistent by inserting cut where appropriate. The problem of learning programs with cut has not been investigated before and this seems to be a natural and reasonable approach. We generalize this scheme and investigate the difficulties that arise. Some of the major shortcomings are actually caused, in general, by the need for intensional evaluation. As a conclusion, the analysis of this paper suggests, on precise and technical grounds, that learning cut is difficult, and current induction techniques should probably be restricted to purely declarative logic languages. "
cs-9312101,arxiv.org/abs/cs/9312101,30/11/93,Decidable Reasoning in Terminological Knowledge Representation Systems,0,0,0," Decidable Reasoning in Terminological Knowledge Representation Systems Terminological knowledge representation systems (TKRSs) are tools for designing and using knowledge bases that make use of terminological languages (or concept languages). We analyze from a theoretical point of view a TKRS whose capabilities go beyond the ones of presently available TKRSs. The new features studied, often required in practical applications, can be summarized in three main points. First, we consider a highly expressive terminological language, called ALCNR, including general complements of concepts, number restrictions and role conjunction. Second, we allow to express inclusion statements between general concepts, and terminological cycles as a particular case. Third, we prove the decidability of a number of desirable TKRS-deduction services (like satisfiability, subsumption and instance checking) through a sound, complete and terminating calculus for reasoning in ALCNR-knowledge bases. Our calculus extends the general technique of constraint systems. As a byproduct of the proof, we get also the result that inclusion statements in ALCNR can be simulated by terminological cycles, if descriptive semantics is adopted. "
cs-9401102,arxiv.org/abs/cs/9401102,31/12/93,Mini-indexes for literate programs,0,0,0," Mini-indexes for literate programs This paper describes how to implement a documentation technique that helps readers to understand large programs or collections of programs, by providing local indexes to all identifiers that are visible on every two-page spread. A detailed example is given for a program that finds all Hamiltonian circuits in an undirected graph. "
cs-9401101,arxiv.org/abs/cs/9401101,31/12/93,Teleo-Reactive Programs for Agent Control,0,0,0," Teleo-Reactive Programs for Agent Control A formalism is presented for computing and organizing actions for autonomous agents in dynamic environments. We introduce the notion of teleo-reactive (T-R) programs whose execution entails the construction of circuitry for the continuous computation of the parameters and conditions on which agent action is based. In addition to continuous feedback, T-R programs support parameter binding and recursion. A primary difference between T-R programs and many other circuit-based systems is that the circuitry of T-R programs is more compact; it is constructed at run time and thus does not have to anticipate all the contingencies that might arise over all possible runs. In addition, T-R programs are intuitive and easy to write and are written in a form that is compatible with automatic planning and learning methods. We briefly describe some experimental applications of T-R programs in the control of simulated and actual mobile robots. "
cs-9402103,arxiv.org/abs/cs/9402103,31/1/94,Bias-Driven Revision of Logical Domain Theories,0,0,0," Bias-Driven Revision of Logical Domain Theories The theory revision problem is the problem of how best to go about revising a deficient domain theory using information contained in examples that expose inaccuracies. In this paper we present our approach to the theory revision problem for propositional domain theories. The approach described here, called PTR, uses probabilities associated with domain theory elements to numerically track the ``flow'' of proof through the theory. This allows us to measure the precise role of a clause or literal in allowing or preventing a (desired or undesired) derivation for a given example. This information is used to efficiently locate and repair flawed elements of the theory. PTR is proved to converge to a theory which correctly classifies all examples, and shown experimentally to be fast and accurate even for deep theories. "
cs-9402101,arxiv.org/abs/cs/9402101,31/1/94,Learning the Past Tense of English Verbs: The Symbolic Pattern Associator vs. Connectionist Models,0,0,0," Learning the Past Tense of English Verbs: The Symbolic Pattern Associator vs. Connectionist Models Learning the past tense of English verbs - a seemingly minor aspect of language acquisition - has generated heated debates since 1986, and has become a landmark task for testing the adequacy of cognitive modeling. Several artificial neural networks (ANNs) have been implemented, and a challenge for better symbolic models has been posed. In this paper, we present a general-purpose Symbolic Pattern Associator SPA based upon the decision-tree learning algorithm ID3. We conduct extensive head-to-head comparisons on the generalization ability between ANN models and the SPA under different representations. We conclude that the SPA generalizes the past tense of unseen verbs better than ANN models by a wide margin, and we offer insights as to why this should be the case. We also discuss a new default strategy for decision-tree learning algorithms. "
cs-9402102,arxiv.org/abs/cs/9402102,31/1/94,Substructure Discovery Using Minimum Description Length and Background Knowledge,0,0,0," Substructure Discovery Using Minimum Description Length and Background Knowledge The ability to identify interesting and repetitive substructures is an essential component to discovering knowledge in structural data. We describe a new version of our SUBDUE substructure discovery system based on the minimum description length principle. The SUBDUE system discovers substructures that compress the original data and represent structural concepts in the data. By replacing previously-discovered substructures in the data, multiple passes of SUBDUE produce a hierarchical description of the structural regularities in the data. SUBDUE uses a computationally-bounded inexact graph match that identifies similar, but not identical, instances of a substructure and finds an approximate measure of closeness of two substructures when under computational constraints. In addition to the minimum description length principle, other background knowledge can be used by SUBDUE to guide the search towards more appropriate substructures. Experiments in a variety of domains demonstrate SUBDUE's ability to find substructures capable of compressing the original data and to discover structural concepts important to the domain. Description of Online Appendix: This is a compressed tar file containing the SUBDUE discovery system, written in C. The program accepts as input databases represented in graph form, and will output discovered substructures with their corresponding value. "
cs-9403101,arxiv.org/abs/cs/9403101,28/2/94,Exploring the Decision Forest: An Empirical Investigation of Occam's Razor in Decision Tree Induction,0,0,0," Exploring the Decision Forest: An Empirical Investigation of Occam's Razor in Decision Tree Induction We report on a series of experiments in which all decision trees consistent with the training data are constructed. These experiments were run to gain an understanding of the properties of the set of consistent decision trees and the factors that affect the accuracy of individual trees. In particular, we investigated the relationship between the size of a decision tree consistent with some training data and the accuracy of the tree on test data. The experiments were performed on a massively parallel Maspar computer. The results of the experiments on several artificial and two real world problems indicate that, for many of the problems investigated, smaller consistent decision trees are on average less accurate than the average accuracy of slightly larger trees. "
cmp-lg-9404001,arxiv.org/abs/cmp-lg/9404001,3/4/94,An Alternative Conception of Tree-Adjoining Derivation,0,0,0," An Alternative Conception of Tree-Adjoining Derivation The precise formulation of derivation for tree-adjoining grammars has important ramifications for a wide variety of uses of the formalism, from syntactic analysis to semantic interpretation and statistical language modeling. We argue that the definition of tree-adjoining derivation must be reformulated in order to manifest the proper linguistic dependencies in derivations. The particular proposal is both precisely characterizable through a definition of TAG derivations as equivalence classes of ordered derivation trees, and computationally operational, by virtue of a compilation to linear indexed grammars together with an efficient algorithm for recognition and parsing according to the compiled grammar. "
cmp-lg-9404002,arxiv.org/abs/cmp-lg/9404002,3/4/94,Lessons from a Restricted Turing Test,0,0,0," Lessons from a Restricted Turing Test We report on the recent Loebner prize competition inspired by Turing's test of intelligent behavior. The presentation covers the structure of the competition and the outcome of its first instantiation in an actual event, and an analysis of the purpose, design, and appropriateness of such a competition. We argue that the competition has no clear purpose, that its design prevents any useful outcome, and that such a competition is inappropriate given the current level of technology. We then speculate as to suitable alternatives to the Loebner prize. "
cmp-lg-9404004,arxiv.org/abs/cmp-lg/9404004,6/4/94,An Empirically Motivated Reinterpretation of Dependency Grammar,0,0,0," An Empirically Motivated Reinterpretation of Dependency Grammar Dependency grammar is usually interpreted as equivalent to a strict form of X--bar theory that forbids the stacking of nodes of the same bar level (e.g., N' immediately dominating N' with the same head). But adequate accounts of _one_--anaphora and of the semantics of multiple modifiers require such stacking and accordingly argue against dependency grammar. Dependency grammar can be salvaged by reinterpreting its claims about phrase structure, so that modifiers map onto binary--branching X--bar trees rather than ``flat'' ones. "
cmp-lg-9404005,arxiv.org/abs/cmp-lg/9404005,11/4/94,Memoization in Constraint Logic Programming,0,0,0," Memoization in Constraint Logic Programming This paper shows how to apply memoization (caching of subgoals and associated answer substitutions) in a constraint logic programming setting. The research is is motivated by the desire to apply constraint logic programming CLP to problems in natural language processing that involve (constraint) interleaving or coroutining, such as GB and HPSG parsing. "
cmp-lg-9404006,arxiv.org/abs/cmp-lg/9404006,15/4/94,SPANISH 1992 (S92): corpus-based analysis of present-day Spanish for medical purposes,0,0,0," SPANISH 1992 (S92): corpus-based analysis of present-day Spanish for medical purposes S92 research was begun in 1987 to analyze word frequencies in present-day Spanish for making speech pathology evaluation tools. 500 2,000-word samples of children, adolescents and adults' language were input between 1988-1991, calculations done in 1992; statistical and Lewandowski analyses were carried out in 1993. "
cmp-lg-9404007,arxiv.org/abs/cmp-lg/9404007,19/4/94,Constraint-Based Categorial Grammar,0,0,0," Constraint-Based Categorial Grammar We propose a generalization of Categorial Grammar in which lexical categories are defined by means of recursive constraints. In particular, the introduction of relational constraints allows one to capture the effects of (recursive) lexical rules in a computationally attractive manner. We illustrate the linguistic merits of the new approach by showing how it accounts for the syntax of Dutch cross-serial dependencies and the position and scope of adjuncts in such constructions. Delayed evaluation is used to process grammars containing recursive constraints. "
cmp-lg-9404008,arxiv.org/abs/cmp-lg/9404008,26/4/94,Principles and Implementation of Deductive Parsing,0,0,0," Principles and Implementation of Deductive Parsing We present a system for generating parsers based directly on the metaphor of parsing as deduction. Parsing algorithms can be represented directly as deduction systems, and a single deduction engine can interpret such deduction systems so as to implement the corresponding parser. The method generalizes easily to parsers for augmented phrase structure formalisms, such as definite-clause grammars and other logic grammar formalisms, and has been used for rapid prototyping of parsing algorithms for a variety of formalisms including variants of tree-adjoining grammars, categorial grammars, and lexicalized context-free grammars. "
cmp-lg-9404011,arxiv.org/abs/cmp-lg/9404011,1/5/94,Adjuncts and the Processing of Lexical Rules,0,0,0," Adjuncts and the Processing of Lexical Rules The standard HPSG analysis of Germanic verb clusters can not explain the observed narrow-scope readings of adjuncts in such verb clusters. We present an extension of the HPSG analysis that accounts for the systematic ambiguity of the scope of adjuncts in verb cluster constructions, by treating adjuncts as members of the subcat list. The extension uses powerful recursive lexical rules, implemented as complex constraints. We show how `delayed evaluation' techniques from constraint-logic programming can be used to process such lexical rules. "
cmp-lg-9405001,arxiv.org/abs/cmp-lg/9405001,2/5/94,Similarity-Based Estimation of Word Cooccurrence Probabilities,0,0,0," Similarity-Based Estimation of Word Cooccurrence Probabilities In many applications of natural language processing it is necessary to determine the likelihood of a given word combination. For example, a speech recognizer may need to determine which of the two word combinations ``eat a peach'' and ``eat a beach'' is more likely. Statistical NLP methods determine the likelihood of a word combination according to its frequency in a training corpus. However, the nature of language is such that many word combinations are infrequent and do not occur in a given corpus. In this work we propose a method for estimating the probability of such previously unseen word combinations using available information on ``most similar'' words. We describe a probabilistic word association model based on distributional word similarity, and apply it to improving probability estimates for unseen word bigrams in a variant of Katz's back-off model. The similarity-based method yields a 20% perplexity improvement in the prediction of unseen bigrams and statistically significant reductions in speech-recognition error. "
cmp-lg-9405003,arxiv.org/abs/cmp-lg/9405003,2/5/94,Some Bibliographical References on Intonation and Intonational Meaning,0,0,0," Some Bibliographical References on Intonation and Intonational Meaning A by-no-means-complete collection of references for those interested in intonational meaning, with other miscellaneous references on intonation included. Additional references are welcome, and should be sent to julia@research.att.com. "
cmp-lg-9405002,arxiv.org/abs/cmp-lg/9405002,2/5/94,Temporal Relations: Reference or Discourse Coherence?,0,0,0," Temporal Relations: Reference or Discourse Coherence? The temporal relations that hold between events described by successive utterances are often left implicit or underspecified. We address the role of two phenomena with respect to the recovery of these relations: (1) the referential properties of tense, and (2) the role of temporal constraints imposed by coherence relations. We account for several facets of the identification of temporal relations through an integration of these. "
cmp-lg-9405010,arxiv.org/abs/cmp-lg/9405010,3/5/94,Common Topics and Coherent Situations: Interpreting Ellipsis in the Context of Discourse Inference,0,0,0," Common Topics and Coherent Situations: Interpreting Ellipsis in the Context of Discourse Inference It is claimed that a variety of facts concerning ellipsis, event reference, and interclausal coherence can be explained by two features of the linguistic form in question: (1) whether the form leaves behind an empty constituent in the syntax, and (2) whether the form is anaphoric in the semantics. It is proposed that these features interact with one of two types of discourse inference, namely {\it Common Topic} inference and {\it Coherent Situation} inference. The differing ways in which these types of inference utilize syntactic and semantic representations predicts phenomena for which it is otherwise difficult to account. "
cmp-lg-9405006,arxiv.org/abs/cmp-lg/9405006,3/5/94,Efficiency  Robustness  and Accuracy in Picky Chart Parsing,0,0,0," Efficiency, Robustness, and Accuracy in Picky Chart Parsing This paper describes Picky, a probabilistic agenda-based chart parsing algorithm which uses a technique called {\em probabilistic prediction} to predict which grammar rules are likely to lead to an acceptable parse of the input. Using a suboptimal search method, Picky significantly reduces the number of edges produced by CKY-like chart parsing algorithms, while maintaining the robustness of pure bottom-up parsers and the accuracy of existing probabilistic parsers. Experiments using Picky demonstrate how probabilistic modelling can impact upon the efficiency, robustness and accuracy of a parser. "
cmp-lg-9405005,arxiv.org/abs/cmp-lg/9405005,3/5/94,Pearl: A Probabilistic Chart Parser,0,0,0," Pearl: A Probabilistic Chart Parser This paper describes a natural language parsing algorithm for unrestricted text which uses a probability-based scoring function to select the best parse of a sentence. The parser, Pearl, is a time-asynchronous bottom-up chart parser with Earley-type top-down prediction which pursues the highest-scoring theory in the chart, where the score of a theory represents the extent to which the context of the sentence predicts that interpretation. This parser differs from previous attempts at stochastic parsers in that it uses a richer form of conditional probabilities based on context to predict likelihood. Pearl also provides a framework for incorporating the results of previous work in part-of-speech assignment, unknown word models, and other probabilistic models of linguistic features into one parsing tool, interleaving these techniques instead of using the traditional pipeline architecture. In preliminary tests, Pearl has been successful at resolving part-of-speech and word (in speech processing) ambiguity, determining categories for unknown words, and selecting correct parses first using a very loosely fitting covering grammar. "
cmp-lg-9405004,arxiv.org/abs/cmp-lg/9405004,3/5/94,Syntactic-Head-Driven Generation,0,0,0," Syntactic-Head-Driven Generation The previously proposed semantic-head-driven generation methods run into problems if none of the daughter constituents in the syntacto-semantic rule schemata of a grammar fits the definition of a semantic head given in Shieber et al. 1990. This is the case for the semantic analysis rules of certain constraint-based semantic representations, e.g. Underspecified Discourse Representation Structures (UDRSs) (Frank/Reyle 1992). Since head-driven generation in general has its merits, we simply return to a syntactic definition of `head' and demonstrate the feasibility of syntactic-head-driven generation. In addition to its generality, a syntactic-head-driven algorithm provides a basis for a logically well-defined treatment of the movement of (syntactic) heads, for which only ad-hoc solutions existed, so far. "
cmp-lg-9405007,arxiv.org/abs/cmp-lg/9405007,3/5/94,Towards History-based Grammars: Using Richer Models for Probabilistic Parsing,0,0,0," Towards History-based Grammars: Using Richer Models for Probabilistic Parsing We describe a generative probabilistic model of natural language, which we call HBG, that takes advantage of detailed linguistic information to resolve ambiguity. HBG incorporates lexical, syntactic, semantic, and structural information from the parse tree into the disambiguation process in a novel way. We use a corpus of bracketed sentences, called a Treebank, in combination with decision tree building to tease out the relevant aspects of a parse tree that will determine the correct parse of a sentence. This stands in contrast to the usual approach of further grammar tailoring via the usual linguistic introspection in the hope of generating the correct parse. In head-to-head tests against one of the best existing robust probabilistic parsing models, which we call P-CFG, the HBG model significantly outperforms P-CFG, increasing the parsing accuracy rate from 60% to 75%, a 37% reduction in error. "
cmp-lg-9405009,arxiv.org/abs/cmp-lg/9405009,4/5/94,Natural Language Parsing as Statistical Pattern Recognition,0,0,0," Natural Language Parsing as Statistical Pattern Recognition Traditional natural language parsers are based on rewrite rule systems developed in an arduous, time-consuming manner by grammarians. A majority of the grammarian's efforts are devoted to the disambiguation process, first hypothesizing rules which dictate constituent categories and relationships among words in ambiguous sentences, and then seeking exceptions and corrections to these rules. In this work, I propose an automatic method for acquiring a statistical parser from a set of parsed sentences which takes advantage of some initial linguistic input, but avoids the pitfalls of the iterative and seemingly endless grammar development process. Based on distributionally-derived and linguistically-based features of language, this parser acquires a set of statistical decision trees which assign a probability distribution on the space of parse trees given the input sentence. These decision trees take advantage of significant amount of contextual information, potentially including all of the lexical information in the sentence, to produce highly accurate statistical models of the disambiguation process. By basing the disambiguation criteria selection on entropy reduction rather than human intuition, this parser development method is able to consider more sentences than a human grammarian can when making individual disambiguation rules. In experiments between a parser, acquired using this statistical framework, and a grammarian's rule-based parser, developed over a ten-year period, both using the same training material and test sentences, the decision tree parser significantly outperformed the grammar-based parser on the accuracy measure which the grammarian was trying to maximize, achieving an accuracy of 78% compared to the grammar-based parser's 69%. "
cmp-lg-9405008,arxiv.org/abs/cmp-lg/9405008,5/5/94,A Stochastic Finite-State Word-Segmentation Algorithm for Chinese,0,0,0," A Stochastic Finite-State Word-Segmentation Algorithm for Chinese We present a stochastic finite-state model for segmenting Chinese text into dictionary entries and productively derived words, and providing pronunciations for these words; the method incorporates a class-based model in its treatment of personal names. We also evaluate the system's performance, taking into account the fact that people often do not agree on a single segmentation. "
cmp-lg-9405011,arxiv.org/abs/cmp-lg/9405011,6/5/94,A Plan-Based Model for Response Generation in Collaborative Task-Oriented Dialogues,0,0,0," A Plan-Based Model for Response Generation in Collaborative Task-Oriented Dialogues This paper presents a plan-based architecture for response generation in collaborative consultation dialogues, with emphasis on cases in which the system (consultant) and user (executing agent) disagree. Our work contributes to an overall system for collaborative problem-solving by providing a plan-based framework that captures the {\em Propose-Evaluate-Modify} cycle of collaboration, and by allowing the system to initiate subdialogues to negotiate proposed additions to the shared plan and to provide support for its claims. In addition, our system handles in a unified manner the negotiation of proposed domain actions, proposed problem-solving actions, and beliefs proposed by discourse actions. Furthermore, it captures cooperative responses within the collaborative framework and accounts for why questions are sometimes never answered. "
cmp-lg-9405012,arxiv.org/abs/cmp-lg/9405012,6/5/94,Integration Of Visual Inter-word Constraints And Linguistic Knowledge In Degraded Text Recognition,0,0,0," Integration Of Visual Inter-word Constraints And Linguistic Knowledge In Degraded Text Recognition Degraded text recognition is a difficult task. Given a noisy text image, a word recognizer can be applied to generate several candidates for each word image. High-level knowledge sources can then be used to select a decision from the candidate set for each word image. In this paper, we propose that visual inter-word constraints can be used to facilitate candidate selection. Visual inter-word constraints provide a way to link word images inside the text page, and to interpret them systematically. "
cmp-lg-9405014,arxiv.org/abs/cmp-lg/9405014,9/5/94,Classifying Cue Phrases in Text and Speech Using Machine Learning,0,0,0," Classifying Cue Phrases in Text and Speech Using Machine Learning Cue phrases may be used in a discourse sense to explicitly signal discourse structure, but also in a sentential sense to convey semantic rather than structural information. This paper explores the use of machine learning for classifying cue phrases as discourse or sentential. Two machine learning programs (Cgrendel and C4.5) are used to induce classification rules from sets of pre-classified cue phrases and their features. Machine learning is shown to be an effective technique for not only automating the generation of classification rules, but also for improving upon previous results. "
cmp-lg-9405013,arxiv.org/abs/cmp-lg/9405013,9/5/94,Collaboration on reference to objects that are not mutually known,0,0,0," Collaboration on reference to objects that are not mutually known In conversation, a person sometimes has to refer to an object that is not previously known to the other participant. We present a plan-based model of how agents collaborate on reference of this sort. In making a reference, an agent uses the most salient attributes of the referent. In understanding a reference, an agent determines his confidence in its adequacy as a means of identifying the referent. To collaborate, the agents use judgment, suggestion, and elaboration moves to refashion an inadequate referring expression. "
cmp-lg-9405015,arxiv.org/abs/cmp-lg/9405015,9/5/94,Intention-based Segmentation: Human Reliability and Correlation with Linguistic Cues,0,0,0," Intention-based Segmentation: Human Reliability and Correlation with Linguistic Cues Certain spans of utterances in a discourse, referred to here as segments, are widely assumed to form coherent units. Further, the segmental structure of discourse has been claimed to constrain and be constrained by many phenomena. However, there is weak consensus on the nature of segments and the criteria for recognizing or generating them. We present quantitative results of a two part study using a corpus of spontaneous, narrative monologues. The first part evaluates the statistical reliability of human segmentation of our corpus, where speaker intention is the segmentation criterion. We then use the subjects' segmentations to evaluate the correlation of discourse segmentation with three linguistic cues (referential noun phrases, cue words, and pauses), using information retrieval metrics. "
cmp-lg-9405017,arxiv.org/abs/cmp-lg/9405017,10/5/94,Best-first Model Merging for Hidden Markov Model Induction,0,0,0," Best-first Model Merging for Hidden Markov Model Induction This report describes a new technique for inducing the structure of Hidden Markov Models from data which is based on the general `model merging' strategy (Omohundro 1992). The process begins with a maximum likelihood HMM that directly encodes the training data. Successively more general models are produced by merging HMM states. A Bayesian posterior probability criterion is used to determine which states to merge and when to stop generalizing. The procedure may be considered a heuristic search for the HMM structure with the highest posterior probability. We discuss a variety of possible priors for HMMs, as well as a number of approximations which improve the computational efficiency of the algorithm. We studied three applications to evaluate the procedure. The first compares the merging algorithm with the standard Baum-Welch approach in inducing simple finite-state languages from small, positive-only training samples. We found that the merging procedure is more robust and accurate, particularly with a small amount of training data. The second application uses labelled speech data from the TIMIT database to build compact, multiple-pronunciation word models that can be used in speech recognition. Finally, we describe how the algorithm was incorporated in an operational speech understanding system, where it is combined with neural network acoustic likelihood estimators to improve performance over single-pronunciation word models. "
cmp-lg-9405016,arxiv.org/abs/cmp-lg/9405016,10/5/94,Precise n-gram Probabilities from Stochastic Context-free Grammars,0,0,0," Precise n-gram Probabilities from Stochastic Context-free Grammars We present an algorithm for computing n-gram probabilities from stochastic context-free grammars, a procedure that can alleviate some of the standard problems associated with n-grams (estimation from sparse data, lack of linguistic structure, among others). The method operates via the computation of substring expectations, which in turn is accomplished by solving systems of linear equations derived from the grammar. We discuss efficient implementation of the algorithm and report our practical experience with it. "
cmp-lg-9405018,arxiv.org/abs/cmp-lg/9405018,16/5/94,Memory-Based Lexical Acquisition and Processing,0,0,0," Memory-Based Lexical Acquisition and Processing Current approaches to computational lexicology in language technology are knowledge-based (competence-oriented) and try to abstract away from specific formalisms, domains, and applications. This results in severe complexity, acquisition and reusability bottlenecks. As an alternative, we propose a particular performance-oriented approach to Natural Language Processing based on automatic memory-based learning of linguistic (lexical) tasks. The consequences of the approach for computational lexicology are discussed, and the application of the approach on a number of lexical acquisition and disambiguation tasks in phonology, morphology and syntax is described. "
cmp-lg-9405019,arxiv.org/abs/cmp-lg/9405019,23/5/94,Determination of referential property and number of nouns in Japanese sentences for machine translation into English,0,0,0," Determination of referential property and number of nouns in Japanese sentences for machine translation into English When translating Japanese nouns into English, we face the problem of articles and numbers which the Japanese language does not have, but which are necessary for the English composition. To solve this difficult problem we classified the referential property and the number of nouns into three types respectively. This paper shows that the referential property and the number of nouns in a sentence can be estimated fairly reliably by the words in the sentence. Many rules for the estimation were written in forms similar to rewriting rules in expert systems. We obtained the correct recognition scores of 85.5\% and 89.0\% in the estimation of the referential property and the number respectively for the sentences which were used for the construction of our rules. We tested these rules for some other texts, and obtained the scores of 68.9\% and 85.6\% respectively. "
cmp-lg-9405020,arxiv.org/abs/cmp-lg/9405020,24/5/94,Capturing CFLs with Tree Adjoining Grammars,0,0,0, Capturing CFLs with Tree Adjoining Grammars We define a decidable class of TAGs that is strongly equivalent to CFGs and is cubic-time parsable. This class serves to lexicalize CFGs in the same manner as the LCFGs of Schabes and Waters but with considerably less restriction on the form of the grammars. The class provides a normal form for TAGs that generate local sets in much the same way that regular grammars provide a normal form for CFGs that generate regular sets. 
cmp-lg-9405021,arxiv.org/abs/cmp-lg/9405021,24/5/94,Generating Precondition Expressions in Instructional Text,0,0,0," Generating Precondition Expressions in Instructional Text This study employs a knowledge intensive corpus analysis to identify the elements of the communicative context which can be used to determine the appropriate lexical and grammatical form of instructional texts. \ig, an instructional text generation system based on this analysis, is presented, particularly with reference to its expression of precondition relations. "
